RTS ID,RTS Status,Load #,Wave #,Routed Date,Ready Date,Date of Pickup,Time of Pickup,Outbound BOL,Order Date,Customer,Ship To Name,Purchase Order No.,Cartons,Start Date,Cancel Date,BOL Cube,Final Cube,Burlington Cube,Pallet,Individual Pieces,Total Pieces,Individual Weight,Total Weight,Invoice No.,Style,Release,Assigned Trucking Co.
,,,,,,,,,2242025,,BIG ALS,645217,1,1152025,2152025,1.02,130,,1,24,24,11.0,11.0,G13281,D95609LA,,
,,,,,,,,,2242025,,BIG ALS,629412,2,1202025,2202025,2.85,130,,1,48,48,19.8,19.8,G13279,B89152LA,,
,,,,,,,,,2242025,,BIG ALS,629403,1,2102025,2282025,3.37,130,,1,48,96,13.9,27.8,G13278,Q35958LA,,
,,,,,,,,,2242025,,BIG ALS,629403,1,2102025,2282025,3.37,130,,1,48,96,13.9,27.8,G13278,Q35959LA,,
,,,,,,,,,2242025,,BIG ALS,645219,1,2152025,2282025,3.22,130,,1,24,72,8.8,25.6,G13282,D95513LA,,
,,,,,,,,,2242025,,BIG ALS,645219,1,2152025,2282025,3.22,130,,1,24,72,8.2,25.6,G13282,D95554LA,,
,,,,,,,,,2242025,,BIG ALS,645219,1,2152025,2282025,3.22,130,,1,24,72,8.6,25.6,G13282,D95604LA,,
,,,,,,,,,2242025,,BIG ALS,651272,1,2182025,2282025,5.56,130,,1,24,120,6.2,36.9,G13284,07492LA,,
,,,,,,,,,2242025,,BIG ALS,651272,1,2182025,2282025,5.56,130,,1,24,120,8.1,36.9,G13284,07499LA,,
,,,,,,,,,2242025,,BIG ALS,651272,1,2182025,2282025,5.56,130,,1,24,120,7.0,36.9,G13284,17492LA,,
,,,,,,,,,2242025,,BIG ALS,651272,1,2182025,2282025,5.56,130,,1,24,120,9.0,36.9,G13284,17499LA,,
,,,,,,,,,2242025,,BIG ALS,651272,1,2182025,2282025,5.56,130,,1,24,120,6.6,36.9,G13284,17557LA,,
,,,,,,,,,2242025,,BIG ALS,743656,3,2172025,2282025,4.25,130,,1,72,72,35.1,35.1,G13286,S65003LA,,
,,,,,,,,,2242025,,BIG ALS,645207,1,2202025,3152025,2.66,130,,1,36,108,8.8,26.5,G13280,D00216LA,,
,,,,,,,,,2242025,,BIG ALS,645207,1,2202025,3152025,2.66,130,,1,36,108,8.8,26.5,G13280,D00218LA,,
,,,,,,,,,2242025,,BIG ALS,645207,1,2202025,3152025,2.66,130,,1,36,108,8.8,26.5,G13280,D00219LA,,
,,,,,,,,,2242025,,BIG ALS,645370JH,1,2152025,3152025,2.93,130,,1,24,48,14.3,31.3,G13283,D00467LA,,
,,,,,,,,,2242025,,BIG ALS,645370JH,1,2152025,3152025,2.93,130,,1,24,48,17.0,31.3,G13283,D08184LA,,
,,,,,,,,,2242025,,BIG ALS,651273,1,2202025,3152025,1.61,130,,1,24,60,6.4,16.5,G13285,10078LA,,
,,,,,,,,,2242025,,BIG ALS,651273,1,2202025,3152025,1.61,130,,1,36,60,10.1,16.5,G13285,17830LA,,
,,,,,,,,,2242025,,COOKIE'S,645217,1,1152025,2152025,1.02,130,,1,24,24,11.0,11.0,G13301,D95609LA,,
,,,,,,,,,2242025,,COOKIE'S,629412,2,1202025,2202025,2.85,130,,1,48,48,19.8,19.8,G13299,B89152LA,,
,,,,,,,,,2242025,,COOKIE'S,629403,1,2102025,2282025,3.37,130,,1,48,96,13.9,27.8,G13298,Q35958LA,,
,,,,,,,,,2242025,,COOKIE'S,629403,1,2102025,2282025,3.37,130,,1,48,96,13.9,27.8,G13298,Q35959LA,,
,,,,,,,,,2242025,,COOKIE'S,645219,1,2152025,2282025,3.22,130,,1,24,72,8.8,25.6,G13302,D95513LA,,
,,,,,,,,,2242025,,COOKIE'S,645219,1,2152025,2282025,3.22,130,,1,24,72,8.2,25.6,G13302,D95554LA,,
,,,,,,,,,2242025,,COOKIE'S,645219,1,2152025,2282025,3.22,130,,1,24,72,8.6,25.6,G13302,D95604LA,,
