RTS ID,RTS Status,Load #,Wave #,Routed Date,Ready Date,Date of Pickup,Time of Pickup,Outbound BOL,Order Date,Customer,Ship To Name,Purchase Order No.,Cartons,Start Date,Cancel Date,BOL Cube,Final Cube,Burlington Cube,Pallet,Individual Pieces,Total Pieces,Individual Weight,Total Weight,Invoice No.,Style,Release,Assigned Trucking Co.
,,,,,,,,,07102025,,FASHION PARADISE INC,ALL0618A,3,06252025,07022025,9.54,130,,1,72,240,33.1,110.2,G24047,D03609LA,,
,,,,,,,,,07102025,,FASHION PARADISE INC,ALL0618A,2,06252025,07022025,9.54,,,,48,,22.0,,G24047,D03631LA,,
,,,,,,,,,07102025,,FASHION PARADISE INC,ALL0618A,2,06252025,07022025,9.54,,,,48,,22.0,,G24047,D03649LA,,
,,,,,,,,,07102025,,FASHION PARADISE INC,ALL0618A,3,06252025,07022025,9.54,,,,72,,33.1,,G24047,D03654LA,,
,,,,,,,,,07102025,,FASHION PARADISE INC,ALL0618C,2,07052025,07122025,10.76,130,,1,48,228,22.0,105.4,G24048,D00489LA,,
,,,,,,,,,07102025,,FASHION PARADISE INC,ALL0618C,2,07052025,07122025,10.76,,,,48,,22.0,,G24048,D00490LA,,
,,,,,,,,,07102025,,FASHION PARADISE INC,ALL0618C,2,07052025,07122025,10.76,,,,48,,22.0,,G24048,D00491LA,,
,,,,,,,,,07102025,,FASHION PARADISE INC,ALL0618C,2,07052025,07122025,10.76,,,,48,,22.0,,G24048,D00492LA,,
,,,,,,,,,07102025,,FASHION PARADISE INC,ALL0618C,1,07052025,07122025,10.76,,,,36,,17.2,,G24048,D94702LA,,
,,,,,,,,,07102025,,BIG ALS,655177JH,1,06252025,07252025,6.51,130,,1,24,24,28.7,28.7,G24077,D05554LA,,
,,,,,,,,,07102025,,BIG ALS,629493,1,07102025,07302025,3.05,130,,1,24,72,11.0,33.1,G24072,D95378LA,,
,,,,,,,,,07102025,,BIG ALS,629493,1,07102025,07302025,3.05,,,,24,,11.0,,G24072,D95381LA,,
,,,,,,,,,07102025,,BIG ALS,629493,1,07102025,07302025,3.05,,,,24,,11.0,,G24072,D95487LA,,
,,,,,,,,,07102025,,BIG ALS,629495,1,07102025,07302025,5.12,130,,1,24,96,11.0,50.7,G24073,D91500LA,,
,,,,,,,,,07102025,,BIG ALS,629495,1,07102025,07302025,5.12,,,,24,,11.0,,G24073,D91523LA,,
,,,,,,,,,07102025,,BIG ALS,629495,1,07102025,07302025,5.12,,,,24,,14.3,,G24073,D91538LA,,
,,,,,,,,,07102025,,BIG ALS,629495,1,07102025,07302025,5.12,,,,24,,14.3,,G24073,D91542LA,,
,,,,,,,,,07102025,,BIG ALS,629496,1,07102025,07302025,3.97,130,,1,24,84,12.9,38.5,G24074,D91556RO,,
,,,,,,,,,07102025,,BIG ALS,629496,1,07102025,07302025,3.97,,,,24,,10.1,,G24074,D91840LA,,
